SeriesID	LACM	Genus	Species	Date	Area	Site	Time	Sex	Latitude	Longitude	PosErr	Elevation	SVL_mm	Age10g	Mass_g	VerbatimLocation	Color_Dorsal	Scales_dorsal	BIO12_annualPrecip	BIO5_maxTwarmestMo	BIO6_minTcoldestMo	Aridity_index	BIO10_meanTwarmestQ	BIO11_meanTcoldestQ
VW186	188334	Sceloporus	occidentalis	"7-July, 2016"	Lone Pine Creek	Alabama Hills	12:10 PM	M	36.60184	-118.07869	2	1182	83	Adult	19.9	On large boulder b/w creek and trail	34.92	NA	186	35.7	-2.9	14.69101479	25.1	5.1
VW187	188335	Sceloporus	occidentalis	"7-July, 2016"	Lone Pine Creek	Alabama Hills	12:27 PM	F	36.602	-118.07915	2	1185	79	Adult	15.6	On cottonwood tree b/w creek and trail	46.88	NA	186	35.7	-2.9	14.69101479	25.1	5.1
VW188	188336	Sceloporus	occidentalis	"8-July, 2016"	Lone Pine Creek	Alabama Hills	1:22 PM	M	36.60204	-118.07753	3	1161	87	Adult	22	On rock near trail	30.97	NA	186	35.7	-2.9	14.69101479	25.1	5.1
VW193	188340	Sceloporus	occidentalis	"10-July, 2016"	Lone Pine Creek	Alabama Hills	4:28 PM	F	36.60187	-118.07854	3	1189	79	Adult	14.4	On rock near trail	44.7	NA	186	35.7	-2.9	14.69101479	25.1	5.1
VW001	188168	Sceloporus	occidentalis	"2-June, 2016"	Big Bear	Big Bear Lake	3:43 PM	F	34.26327	-116.90086	3	2083	68	Adult	13.3	Adjacent to juniper bushes at ranger station	35.19	NA	625	26.7	-6.5	93.19456042	16.5	1.2
VW002	188169	Sceloporus	occidentalis	"2-June, 2016"	Big Bear	Big Bear Lake	4:14 PM	M	34.26365	-116.90079	2	2088	71	Adult	13.3	On steps in front of ranger station	35.51	NA	625	26.7	-6.5	93.19456042	16.5	1.2
VW003	188170	Sceloporus	occidentalis	"2-June, 2016"	Big Bear	Big Bear Lake	4:20 PM	M	34.26334	-116.90081	2	2082	75	Adult	14.5	On sidewalk in front of ranger station	32.25	NA	625	26.7	-6.5	93.19456042	16.5	1.2
VW004	188171	Sceloporus	occidentalis	"2-June, 2016"	Big Bear	Big Bear Lake	4:29 PM	M	34.26345	-116.90054	2	2085	83	Adult	17.7	On rock across the road from ranger station	35.44	NA	625	26.7	-6.5	93.19456042	16.5	1.2
VW005	188172	Sceloporus	occidentalis	"2-June, 2016"	Big Bear	Big Bear Lake	4:56 PM	F	34.26124	-116.9	2	2065	69	Adult	12.8	On curb adjacent to parking lot	35.15	NA	625	26.7	-6.5	93.19456042	16.5	1.2
VW006	188173	Sceloporus	occidentalis	"2-June, 2016"	Big Bear	Big Bear Lake	5:03 PM	M	34.26148	-116.90046	2	2065	81	Adult	17.1	On fencepost SE of path	40.05	NA	625	26.7	-6.5	93.19456042	16.5	1.2
VW007	188174	Sceloporus	occidentalis	"2-June, 2016"	Big Bear	Big Bear Lake	5:14 PM	F	34.26199	-116.901	2	2066	75	Adult	16.9	On fencepost SW of path	36.99	NA	625	26.7	-6.5	93.19456042	16.5	1.2
VW008	188175	Sceloporus	occidentalis	"2-June, 2016"	Big Bear	Big Bear Lake	5:19 PM	M	34.262	-116.90103	2	2068	79	Adult	16.1	On fencepost SW of path	41.21	NA	625	26.7	-6.5	93.19456042	16.5	1.2
VW019	188186	Sceloporus	occidentalis	"5-June, 2016"	Big Bear	Big Bear Lake	12:52 PM	F	34.26132	-116.90012	2	2066	71	Adult	13.3	On fencepost	37.36	NA	625	26.7	-6.5	93.19456042	16.5	1.2
VW020	188187	Sceloporus	occidentalis	"5-June, 2016"	Big Bear	Big Bear Lake	1:05 PM	M	34.2603	-116.90117	2	2056	78	Adult	14.6	On fencepost	37.15	NA	625	26.7	-6.5	93.19456042	16.5	1.2
VW022	188189	Sceloporus	occidentalis	"5-June, 2016"	Big Bear	Big Bear Lake	1:43 PM	M	34.26175	-116.90054	3	2065	76	Adult	15.4	On fencepost	38.68	NA	625	26.7	-6.5	93.19456042	16.5	1.2
VW082	188195	Sceloporus	occidentalis	"20-June, 2016"	Big Bear	Big Bear Lake	5:37 PM	F	34.2616	-116.90013	3	2075	67	Adult	12.5	On wooden fencepost	32.98	NA	625	26.7	-6.5	93.19456042	16.5	1.2
VW083	188196	Sceloporus	occidentalis	"20-June, 2016"	Big Bear	Big Bear Lake	5:43 PM	M	34.26163	-116.90017	2	2073	69	Adult	12.3	On wooden fencepost	35.54	NA	625	26.7	-6.5	93.19456042	16.5	1.2
VW085	188198	Sceloporus	occidentalis	"20-June, 2016"	Big Bear	Big Bear Lake	5:59 PM	M	34.26176	-116.90051	2	2070	71	Adult	13	On wooden fencepost	45.09	NA	625	26.7	-6.5	93.19456042	16.5	1.2
VW086	188199	Sceloporus	occidentalis	"20-June, 2016"	Big Bear	Big Bear Lake	6:10 PM	F	34.26167	-116.90044	2	2054	79	Adult	16	On tree near path	33.92	NA	625	26.7	-6.5	93.19456042	16.5	1.2
VW136	188292	Sceloporus	occidentalis	"1-July, 2016"	Big Pine Creek	Big Pine Creek	2:37 PM	M	37.15558	-118.29389	3	1235	92	Adult	31.4	"On rock wall in Big Pine, CA."	39.32	NA	175	35.6	-4.6	14.04268978	23.8	4.2
VW137	188293	Sceloporus	occidentalis	"1-July, 2016"	Big Pine Creek	Big Pine Creek	2:51 PM	F	37.15516	-118.29459	3	1243	83	Adult	22.5	On tree next to creek	47.9	NA	175	35.6	-4.6	14.04268978	23.8	4.2
VW031	188212	Sceloporus	occidentalis	"9-June, 2016"	Table Mountain	Big Rock Creek	9:45 AM	F	34.42067	-117.83897	2	1223	74	Adult	16.9	On rock wall	45.24	39	540	31.3	-1.2	55.20061334	21.7	5.5
VW032	188213	Sceloporus	occidentalis	"9-June, 2016"	Table Mountain	Big Rock Creek	9:54 AM	M	34.42006	-117.8389	3	1230	72	Adult	13.5	On rock near road	39.2	44	540	31.3	-1.2	55.20061334	21.7	5.5
VW034	188215	Sceloporus	occidentalis	"9-June, 2016"	Table Mountain	Big Rock Creek	10:46 AM	M	34.42173	-117.83996	2	1210	77	Adult	17.4	On stone NW of wash	39.72	40	540	31.3	-1.2	55.20061334	21.7	5.5
VW037	188218	Sceloporus	occidentalis	"9-June, 2016"	Table Mountain	Big Rock Creek	1:38 PM	M	34.42104	-117.839	2	1232	66	Adult	11.4	On rock near stream/road	40.49	37	540	31.3	-1.2	55.20061334	21.7	5.5
VW044	188225	Sceloporus	occidentalis	"11-June, 2016"	Table Mountain	Big Rock Creek	4:02 PM	M	34.42102	-117.83899	3	1239	64	Adult	10.1	On large rock near stream	36.41	39	540	31.3	-1.2	55.20061334	21.7	5.5
